"Ano In. Tratamento";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"Em Branco/ign";37109;-;-;-;1;-;1;-;-;-;-;-;661;37772
"<1975";-;-;1;1;-;-;-;1;-;-;-;-;-;3
"2001";-;7602;6352;7927;7161;7508;6718;6854;8017;6648;7398;6786;6462;85433
"2002";-;7729;7028;7865;8680;7696;6611;7640;8229;7632;8071;7508;6793;91482
"2003";-;7748;7791;7206;7899;7949;6926;7908;7550;8048;8478;7541;7374;92418
"2004";-;7210;6541;8428;7971;7725;7170;7871;8096;7937;8006;7712;7245;91912
"2005";-;7124;6641;8323;7986;7834;7794;7264;8290;7712;7201;7497;7639;91305
"2006";-;7311;6630;7971;6834;7556;6883;7040;7738;6896;6989;6629;6290;84767
"2007";-;6947;5983;7972;7146;7302;6516;7025;7482;6659;7455;6668;6131;83286
"2008";-;7100;6475;7106;7569;6781;6884;7555;7719;7649;7518;6813;6489;85658
"2009";-;6841;6327;8016;7547;7118;6645;7361;7296;7317;7288;6958;6862;85576
"2010";-;6586;6192;8079;7031;6930;6510;7070;7266;7114;7120;6880;7251;84029
"2011";-;6815;7114;7306;7500;7551;6823;7060;7853;7400;6920;7179;7019;86540
"2012";-;7098;6521;7852;6827;7447;6782;7030;7923;6674;7531;6871;6383;84939
"2013";-;7243;6168;6960;7496;6936;6863;7258;7838;7271;7504;6899;6134;84570
"2014";-;7346;6902;6405;7102;7046;6148;7342;7105;7342;7340;6743;6382;83203
"2015";-;6755;5998;7617;6843;6652;6820;7344;7280;7125;7244;7131;6806;83615
"2016";-;6696;6465;7819;7260;7055;7276;6940;7535;6981;6404;6810;6636;83877
"2017";-;7161;6672;8234;6678;7782;7216;6971;7977;7286;7519;7212;6972;87680
"2018";-;7424;6514;7752;7829;7708;7495;7781;8711;7537;8591;7545;6855;91742
"2019";-;8011;7595;7293;8033;8195;7130;8110;8044;7909;8310;7394;7214;93238
"2020";-;8336;7058;8295;6040;5453;6124;6829;6784;7271;7273;6784;6636;82883
"2021";-;6512;6454;7322;6674;6695;6927;7426;7868;7938;7728;7771;7937;87252
"2022";-;7232;7883;9158;7863;8615;7822;8346;9074;8448;8279;7933;8047;98700
"2023";-;1162;366;393;250;240;182;158;128;87;85;79;60;3190
"2024";-;75;70;61;57;63;38;54;49;43;30;33;30;603
"2025";-;33;33;30;29;22;23;25;22;20;23;13;15;288
"2026";-;13;7;3;-;-;-;-;-;-;-;-;-;23
"Total";37109;160110;147781;171394;162306;161859;152327;162263;171874;162944;166305;157389;152323;1965984
&
