"Ano Diagnóstico";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"2001";8088;6542;8095;7305;7656;6805;6987;8065;6697;7524;6874;6627;87265
"2002";8013;7347;7961;8771;7784;6713;7746;8330;7654;8200;7532;6809;92860
"2003";8115;7985;7474;7975;8024;7082;7949;7585;8136;8521;7624;7303;93773
"2004";7574;6743;8574;8089;7763;7314;7825;8232;7901;8016;7753;7196;92980
"2005";7432;6748;8441;7958;8019;7781;7282;8391;7690;7186;7587;7541;92056
"2006";7385;6687;8132;6804;7594;6984;7101;7722;6793;7005;6674;6151;85032
"2007";7342;6204;8115;7266;7368;6591;7184;7564;6712;7465;6695;6094;84600
"2008";7355;6646;7278;7612;6895;6929;7688;7797;7631;7565;6799;6574;86769
"2009";7113;6452;8146;7514;7169;6703;7443;7368;7388;7285;7016;6724;86321
"2010";6912;6403;8308;7049;6973;6621;7128;7390;7165;7212;7047;7177;85385
"2011";7113;7269;7484;7558;7688;6940;7080;7992;7386;6994;7376;6938;87818
"2012";7375;6775;7882;6927;7586;6789;7255;8014;6734;7606;6941;6305;86189
"2013";7502;6209;7104;7696;6996;6953;7379;7931;7378;7790;6939;6335;86212
"2014";7670;7040;6754;7260;7178;6322;7516;7124;7506;7470;6905;6471;85216
"2015";7111;6163;7833;6881;6894;6916;7533;7463;7189;7345;7288;6846;85462
"2016";7118;6800;8065;7361;7318;7530;6990;7700;7031;6587;7040;6670;86210
"2017";7538;6830;8684;6780;8083;7387;7229;8097;7441;7804;7429;6993;90295
"2018";7990;6849;7956;8149;7912;7751;8134;8934;7673;8722;7725;6940;94735
"2019";8415;7754;7613;8241;8349;7340;8375;8202;8147;8569;7610;7234;95849
"2020";8784;7434;8598;6207;5640;6455;7110;7083;7532;7518;7111;6688;86160
"2021";6927;6767;7575;6983;6991;7340;7751;8348;8379;7983;8274;8097;91415
"2022";7983;8241;9548;8209;8967;8221;8687;9546;8779;8648;8218;8335;103382
"Total";166855;151888;175620;164595;164847;155467;165372;174878;164942;169015;160457;152048;1965984
&
