seed,objective,beta,sigma,gamma,d,alpha,success,iterations,function_evaluations
20260815,776.0582525633018,0.06116633400868288,0.010173423242498564,0.053248877140024936,0.0002133407178810144,1.0,True,52,3180
20260816,776.0986078726646,0.06566109460160247,0.010077376032172597,0.054520464071553074,0.0028397375447972925,1.0,True,63,3840
20260817,773.3411639395293,0.05900598318863848,0.010008336416665348,0.050429726222469384,0.0009372221474827566,1.0,True,80,4860
20260818,782.8771575436534,0.11334287468299642,0.01000071349569398,0.0530260961449341,0.04643720331726952,1.0,True,50,3060
20260819,780.2460470368783,0.08533086425239722,0.010116906752938554,0.05761449402935981,0.01693646544776161,1.0,True,44,2700
