month,casos_workbook,casos_DATASUS,difference_DATASUS_minus_workbook
2006-05,7593,6323,-1270
2006-06,6984,5797,-1187
2006-07,7101,5961,-1140
2006-08,7722,6528,-1194
2006-09,6793,5742,-1051
2006-10,7005,5871,-1134
2006-11,6674,5687,-987
2006-12,6151,5192,-959
2007-01,7342,6101,-1241
2007-02,6204,5173,-1031
2007-03,8115,6783,-1332
2007-04,7266,6058,-1208
2007-05,7368,6105,-1263
2007-06,6591,5530,-1061
2007-07,7184,6023,-1161
2007-08,7564,6395,-1169
2007-09,6712,5641,-1071
2007-10,7465,6357,-1108
2007-11,6695,5606,-1089
2007-12,6094,5089,-1005
2008-01,7355,6134,-1221
2008-02,6646,5540,-1106
2008-03,7278,6098,-1180
2008-04,7612,6334,-1278
2008-05,6895,5757,-1138
2008-06,6929,5806,-1123
2008-07,7688,6454,-1234
2008-08,7797,6571,-1226
2008-09,7631,6420,-1211
2008-10,7564,6326,-1238
2008-11,6799,5777,-1022
2008-12,6574,5591,-983
2009-01,7113,5904,-1209
2009-02,6452,5367,-1085
2009-03,8146,6725,-1421
2009-04,7514,6238,-1276
2009-05,7168,6032,-1136
2009-06,6702,5628,-1074
2009-07,7443,6252,-1191
2009-08,7368,6189,-1179
2009-09,7388,6209,-1179
2009-10,7285,6155,-1130
2009-11,7016,5923,-1093
2009-12,6723,5637,-1086
2010-01,6912,5716,-1196
2010-02,6403,5275,-1128
2010-03,8308,6809,-1499
2010-04,7049,5838,-1211
2010-05,6973,5698,-1275
2010-06,6621,5415,-1206
2010-07,7128,5910,-1218
2010-08,7389,6120,-1269
2010-09,7165,5937,-1228
2010-10,7210,6003,-1207
2010-11,7047,5857,-1190
2010-12,7176,6025,-1151
2011-01,7112,5857,-1255
2011-02,7269,5992,-1277
2011-03,7484,6216,-1268
2011-04,7558,6250,-1308
2011-05,7688,6435,-1253
2011-06,6940,5718,-1222
2011-07,7079,5754,-1325
2011-08,7992,6587,-1405
2011-09,7386,6088,-1298
2011-10,6994,5737,-1257
2011-11,7375,6123,-1252
2011-12,6936,5788,-1148
2012-01,7375,5992,-1383
2012-02,6774,5576,-1198
2012-03,7882,6462,-1420
2012-04,6927,5700,-1227
2012-05,7586,6266,-1320
2012-06,6787,5547,-1240
2012-07,7255,5954,-1301
2012-08,8014,6542,-1472
2012-09,6734,5560,-1174
2012-10,7606,6306,-1300
2012-11,6941,5743,-1198
2012-12,6302,5168,-1134
2013-01,7502,6190,-1312
2013-02,6209,5095,-1114
2013-03,7102,5781,-1321
2013-04,7696,6290,-1406
2013-05,6996,5694,-1302
2013-06,6953,5649,-1304
2013-07,7379,6004,-1375
2013-08,7931,6560,-1371
2013-09,7377,6020,-1357
2013-10,7789,6458,-1331
2013-11,6939,5748,-1191
2013-12,6335,5201,-1134
2014-01,7670,6253,-1417
2014-02,7040,5767,-1273
2014-03,6754,5452,-1302
2014-04,7260,5837,-1423
2014-05,7177,5836,-1341
2014-06,6322,5148,-1174
2014-07,7516,6134,-1382
2014-08,7124,5814,-1310
2014-09,7505,6094,-1411
2014-10,7470,6130,-1340
2014-11,6905,5687,-1218
2014-12,6470,5342,-1128
2015-01,7111,5694,-1417
2015-02,6160,4952,-1208
2015-03,7833,6279,-1554
2015-04,6880,5550,-1330
2015-05,6893,5493,-1400
2015-06,6916,5617,-1299
2015-07,7531,6077,-1454
2015-08,7463,6002,-1461
2015-09,7189,5837,-1352
2015-10,7345,5968,-1377
2015-11,7287,5884,-1403
2015-12,6844,5649,-1195
2016-01,7116,5707,-1409
2016-02,6800,5497,-1303
2016-03,8067,6461,-1606
2016-04,7360,5925,-1435
2016-05,7315,5887,-1428
2016-06,7527,6051,-1476
2016-07,6991,5632,-1359
2016-08,7702,6181,-1521
2016-09,7030,5654,-1376
2016-10,6588,5340,-1248
2016-11,7039,5740,-1299
2016-12,6672,5479,-1193
2017-01,7581,6073,-1508
2017-02,6842,5490,-1352
2017-03,8706,7073,-1633
2017-04,6792,5427,-1365
2017-05,8115,6449,-1666
2017-06,7405,5910,-1495
2017-07,7238,5837,-1401
2017-08,8128,6488,-1640
2017-09,7462,6002,-1460
2017-10,7830,6333,-1497
2017-11,7468,6031,-1437
2017-12,7027,5658,-1369
2018-01,7990,6383,-1607
2018-02,6849,5537,-1312
2018-03,7956,6371,-1585
2018-04,8149,6528,-1621
2018-05,7912,6334,-1578
2018-06,7751,6212,-1539
2018-07,8134,6569,-1565
2018-08,8934,7233,-1701
2018-09,7673,6248,-1425
2018-10,8722,7039,-1683
2018-11,7725,6281,-1444
2018-12,6940,5592,-1348
2019-01,8358,6739,-1619
2019-02,7769,6203,-1566
2019-03,7656,6090,-1566
2019-04,8271,6652,-1619
2019-05,8394,6680,-1714
2019-06,7374,5898,-1476
2019-07,8423,6760,-1663
2019-08,8237,6603,-1634
2019-09,8169,6608,-1561
2019-10,8619,6937,-1682
2019-11,7647,6186,-1461
2019-12,7267,5854,-1413
2020-01,8745,6968,-1777
2020-02,7448,5989,-1459
2020-03,8638,6821,-1817
2020-04,6243,4872,-1371
2020-05,5660,4443,-1217
2020-06,6502,5104,-1398
2020-07,7127,5631,-1496
2020-08,7087,5610,-1477
2020-09,7550,6004,-1546
2020-10,7539,6019,-1520
2020-11,7159,5686,-1473
2020-12,6716,5367,-1349
2021-01,6948,5394,-1554
2021-02,6815,5304,-1511
2021-03,7592,5990,-1602
2021-04,7006,5463,-1543
2021-05,7022,5517,-1505
2021-06,7379,5818,-1561
2021-07,7803,6101,-1702
2021-08,8378,6610,-1768
2021-09,8406,6608,-1798
2021-10,7989,6294,-1695
2021-11,8306,6560,-1746
2021-12,8132,6236,-1896
2022-01,8022,6103,-1919
2022-02,8262,6454,-1808
2022-03,9563,7529,-2034
2022-04,8215,6359,-1856
2022-05,8932,6921,-2011
2022-06,8135,6284,-1851
2022-07,8647,6736,-1911
2022-08,9445,7389,-2056
2022-09,8625,6775,-1850
2022-10,8404,6706,-1698
2022-11,7829,6322,-1507
2022-12,7727,6402,-1325
