month,casos_workbook,casos_DATASUS,difference_DATASUS_minus_workbook
2001-01,8088,5957,-2131
2001-02,6542,4816,-1726
2001-03,8095,5998,-2097
2001-04,7305,5517,-1788
2001-05,7656,5703,-1953
2001-06,6805,5063,-1742
2001-07,6987,5218,-1769
2001-08,8065,6097,-1968
2001-09,6697,4996,-1701
2001-10,7524,5672,-1852
2001-11,6874,5233,-1641
2001-12,6627,4886,-1741
2002-01,8013,5911,-2102
2002-02,7346,5571,-1775
2002-03,7961,6056,-1905
2002-04,8771,6975,-1796
2002-05,7784,6235,-1549
2002-06,6713,5368,-1345
2002-07,7746,6190,-1556
2002-08,8330,6514,-1816
2002-09,7654,6244,-1410
2002-10,8200,6788,-1412
2002-11,7532,6283,-1249
2002-12,6809,5685,-1124
2003-01,8115,6695,-1420
2003-02,7985,6517,-1468
2003-03,7474,6210,-1264
2003-04,7975,6542,-1433
2003-05,8024,6571,-1453
2003-06,7082,5816,-1266
2003-07,7949,6620,-1329
2003-08,7585,6329,-1256
2003-09,8136,6777,-1359
2003-10,8521,7080,-1441
2003-11,7624,6382,-1242
2003-12,7303,6173,-1130
2004-01,7574,6270,-1304
2004-02,6743,5552,-1191
2004-03,8574,7056,-1518
2004-04,8089,6722,-1367
2004-05,7763,6400,-1363
2004-06,7314,6010,-1304
2004-07,7825,6474,-1351
2004-08,8232,6796,-1436
2004-09,7901,6585,-1316
2004-10,8016,6780,-1236
2004-11,7753,6511,-1242
2004-12,7196,6037,-1159
2005-01,7432,6212,-1220
2005-02,6748,5585,-1163
2005-03,8441,6973,-1468
2005-04,7958,6590,-1368
2005-05,8019,6639,-1380
2005-06,7781,6485,-1296
2005-07,7282,6018,-1264
2005-08,8391,7000,-1391
2005-09,7690,6464,-1226
2005-10,7186,6032,-1154
2005-11,7587,6303,-1284
2005-12,7541,6329,-1212
2006-01,7385,6101,-1284
2006-02,6687,5593,-1094
2006-03,8132,6781,-1351
2006-04,6804,5663,-1141
