month,casos_workbook,casos_DATASUS,difference_DATASUS_minus_workbook
2018-08,8934,7085,-1849
2018-09,7673,6173,-1500
2018-10,8722,7016,-1706
2018-11,7725,6180,-1545
2018-12,6940,5578,-1362
2019-01,8358,6469,-1889
2019-02,7769,6077,-1692
2019-03,7656,5878,-1778
2019-04,8271,6524,-1747
2019-05,8394,6584,-1810
2019-06,7374,5736,-1638
2019-07,8423,6619,-1804
2019-08,8237,6526,-1711
2019-09,8169,6433,-1736
2019-10,8619,6775,-1844
2019-11,7647,6058,-1589
2019-12,7267,5877,-1390
2020-01,8745,6670,-2075
2020-02,7448,5718,-1730
2020-03,8638,6664,-1974
2020-04,6243,4758,-1485
2020-05,5660,4311,-1349
2020-06,6502,4915,-1587
2020-07,7127,5477,-1650
2020-08,7087,5449,-1638
2020-09,7550,5822,-1728
2020-10,7539,5885,-1654
2020-11,7159,5452,-1707
2020-12,6716,5374,-1342
2021-01,6948,5154,-1794
2021-02,6815,5081,-1734
2021-03,7592,5803,-1789
2021-04,7006,5296,-1710
2021-05,7022,5310,-1712
2021-06,7379,5537,-1842
2021-07,7803,5959,-1844
2021-08,8378,6309,-2069
2021-09,8406,6375,-2031
2021-10,7989,6185,-1804
2021-11,8306,6228,-2078
2021-12,8132,6198,-1934
2022-01,8022,5590,-2432
2022-02,8262,6252,-2010
2022-03,9563,7244,-2319
2022-04,8215,6186,-2029
2022-05,8932,6724,-2208
2022-06,8135,6032,-2103
2022-07,8647,6542,-2105
2022-08,9445,7109,-2336
2022-09,8625,6596,-2029
2022-10,8404,6448,-1956
2022-11,7829,6177,-1652
2022-12,7727,6243,-1484
