month,casos_workbook,casos_DATASUS,difference_DATASUS_minus_workbook
2001-01,8088,7602,-486
2001-02,6542,6352,-190
2001-03,8095,7927,-168
2001-04,7305,7161,-144
2001-05,7656,7508,-148
2001-06,6805,6718,-87
2001-07,6987,6854,-133
2001-08,8065,8017,-48
2001-09,6697,6648,-49
2001-10,7524,7398,-126
2001-11,6874,6786,-88
2001-12,6627,6462,-165
2002-01,8013,7729,-284
2002-02,7346,7028,-318
2002-03,7961,7865,-96
2002-04,8771,8680,-91
2002-05,7784,7696,-88
2002-06,6713,6611,-102
2002-07,7746,7640,-106
2002-08,8330,8229,-101
2002-09,7654,7632,-22
2002-10,8200,8071,-129
2002-11,7532,7508,-24
2002-12,6809,6793,-16
2003-01,8115,7748,-367
2003-02,7985,7791,-194
2003-03,7474,7206,-268
2003-04,7975,7899,-76
2003-05,8024,7949,-75
2003-06,7082,6926,-156
2003-07,7949,7908,-41
2003-08,7585,7550,-35
2003-09,8136,8048,-88
2003-10,8521,8478,-43
2003-11,7624,7541,-83
2003-12,7303,7374,71
2004-01,7574,7210,-364
2004-02,6743,6541,-202
2004-03,8574,8428,-146
2004-04,8089,7971,-118
2004-05,7763,7725,-38
2004-06,7314,7170,-144
2004-07,7825,7871,46
2004-08,8232,8096,-136
2004-09,7901,7937,36
2004-10,8016,8006,-10
2004-11,7753,7712,-41
2004-12,7196,7245,49
2005-01,7432,7124,-308
2005-02,6748,6641,-107
2005-03,8441,8323,-118
2005-04,7958,7986,28
2005-05,8019,7834,-185
2005-06,7781,7794,13
2005-07,7282,7264,-18
2005-08,8391,8290,-101
2005-09,7690,7712,22
2005-10,7186,7201,15
2005-11,7587,7497,-90
2005-12,7541,7639,98
2006-01,7385,7311,-74
2006-02,6687,6630,-57
2006-03,8132,7971,-161
2006-04,6804,6834,30
2006-05,7593,7556,-37
2006-06,6984,6883,-101
2006-07,7101,7040,-61
2006-08,7722,7738,16
2006-09,6793,6896,103
2006-10,7005,6989,-16
2006-11,6674,6629,-45
2006-12,6151,6290,139
2007-01,7342,6947,-395
2007-02,6204,5983,-221
2007-03,8115,7972,-143
2007-04,7266,7146,-120
2007-05,7368,7302,-66
2007-06,6591,6516,-75
2007-07,7184,7025,-159
2007-08,7564,7482,-82
2007-09,6712,6659,-53
2007-10,7465,7455,-10
2007-11,6695,6668,-27
2007-12,6094,6131,37
2008-01,7355,7100,-255
2008-02,6646,6475,-171
2008-03,7278,7106,-172
2008-04,7612,7569,-43
2008-05,6895,6781,-114
2008-06,6929,6884,-45
2008-07,7688,7555,-133
2008-08,7797,7719,-78
2008-09,7631,7649,18
2008-10,7564,7518,-46
2008-11,6799,6813,14
2008-12,6574,6489,-85
2009-01,7113,6841,-272
2009-02,6452,6327,-125
2009-03,8146,8016,-130
2009-04,7514,7547,33
2009-05,7168,7118,-50
2009-06,6702,6645,-57
2009-07,7443,7361,-82
2009-08,7368,7296,-72
2009-09,7388,7317,-71
2009-10,7285,7288,3
2009-11,7016,6958,-58
2009-12,6723,6862,139
2010-01,6912,6586,-326
2010-02,6403,6192,-211
2010-03,8308,8079,-229
2010-04,7049,7031,-18
2010-05,6973,6930,-43
2010-06,6621,6510,-111
2010-07,7128,7070,-58
2010-08,7389,7266,-123
2010-09,7165,7114,-51
2010-10,7210,7120,-90
2010-11,7047,6880,-167
2010-12,7176,7251,75
2011-01,7112,6815,-297
2011-02,7269,7114,-155
2011-03,7484,7306,-178
2011-04,7558,7500,-58
2011-05,7688,7551,-137
2011-06,6940,6823,-117
2011-07,7079,7060,-19
2011-08,7992,7853,-139
2011-09,7386,7400,14
2011-10,6994,6920,-74
2011-11,7375,7179,-196
2011-12,6936,7019,83
2012-01,7375,7098,-277
2012-02,6774,6521,-253
2012-03,7882,7852,-30
2012-04,6927,6827,-100
2012-05,7586,7447,-139
2012-06,6787,6782,-5
2012-07,7255,7030,-225
2012-08,8014,7923,-91
2012-09,6734,6674,-60
2012-10,7606,7531,-75
2012-11,6941,6871,-70
2012-12,6302,6383,81
2013-01,7502,7243,-259
2013-02,6209,6168,-41
2013-03,7102,6960,-142
2013-04,7696,7496,-200
2013-05,6996,6936,-60
2013-06,6953,6863,-90
2013-07,7379,7258,-121
2013-08,7931,7838,-93
2013-09,7377,7271,-106
2013-10,7789,7504,-285
2013-11,6939,6899,-40
2013-12,6335,6134,-201
2014-01,7670,7346,-324
2014-02,7040,6902,-138
2014-03,6754,6405,-349
2014-04,7260,7102,-158
2014-05,7177,7046,-131
2014-06,6322,6148,-174
2014-07,7516,7342,-174
2014-08,7124,7105,-19
2014-09,7505,7342,-163
2014-10,7470,7340,-130
2014-11,6905,6743,-162
2014-12,6470,6382,-88
2015-01,7111,6755,-356
2015-02,6160,5998,-162
2015-03,7833,7617,-216
2015-04,6880,6843,-37
2015-05,6893,6652,-241
2015-06,6916,6820,-96
2015-07,7531,7344,-187
2015-08,7463,7280,-183
2015-09,7189,7125,-64
2015-10,7345,7244,-101
2015-11,7287,7131,-156
2015-12,6844,6806,-38
2016-01,7116,6696,-420
2016-02,6800,6465,-335
2016-03,8067,7819,-248
2016-04,7360,7260,-100
2016-05,7315,7055,-260
2016-06,7527,7276,-251
2016-07,6991,6940,-51
2016-08,7702,7535,-167
2016-09,7030,6981,-49
