month,casos_workbook,casos_DATASUS,difference_DATASUS_minus_workbook
2016-10,6588,6404,-184
2016-11,7039,6810,-229
2016-12,6672,6636,-36
2017-01,7581,7161,-420
2017-02,6842,6672,-170
2017-03,8706,8234,-472
2017-04,6792,6678,-114
2017-05,8115,7782,-333
2017-06,7405,7216,-189
2017-07,7238,6971,-267
2017-08,8128,7977,-151
2017-09,7462,7286,-176
2017-10,7830,7519,-311
2017-11,7468,7212,-256
2017-12,7027,6972,-55
2018-01,7990,7424,-566
2018-02,6849,6514,-335
2018-03,7956,7752,-204
2018-04,8149,7829,-320
2018-05,7912,7708,-204
2018-06,7751,7495,-256
2018-07,8134,7781,-353
2018-08,8934,8711,-223
2018-09,7673,7537,-136
2018-10,8722,8591,-131
2018-11,7725,7545,-180
2018-12,6940,6855,-85
2019-01,8358,8011,-347
2019-02,7769,7595,-174
2019-03,7656,7293,-363
2019-04,8271,8033,-238
2019-05,8394,8195,-199
2019-06,7374,7130,-244
2019-07,8423,8110,-313
2019-08,8237,8044,-193
2019-09,8169,7909,-260
2019-10,8619,8310,-309
2019-11,7647,7394,-253
2019-12,7267,7214,-53
2020-01,8745,8336,-409
2020-02,7448,7058,-390
2020-03,8638,8295,-343
2020-04,6243,6040,-203
2020-05,5660,5453,-207
2020-06,6502,6124,-378
2020-07,7127,6829,-298
2020-08,7087,6784,-303
2020-09,7550,7271,-279
2020-10,7539,7273,-266
2020-11,7159,6784,-375
2020-12,6716,6636,-80
2021-01,6948,6512,-436
2021-02,6815,6454,-361
2021-03,7592,7322,-270
2021-04,7006,6674,-332
2021-05,7022,6695,-327
2021-06,7379,6927,-452
2021-07,7803,7426,-377
2021-08,8378,7868,-510
2021-09,8406,7938,-468
2021-10,7989,7728,-261
2021-11,8306,7771,-535
2021-12,8132,7937,-195
2022-01,8022,7232,-790
2022-02,8262,7883,-379
2022-03,9563,9158,-405
2022-04,8215,7863,-352
2022-05,8932,8615,-317
2022-06,8135,7822,-313
2022-07,8647,8346,-301
2022-08,9445,9074,-371
2022-09,8625,8448,-177
2022-10,8404,8279,-125
2022-11,7829,7933,104
2022-12,7727,8047,320
