protocol,model,RMSE,MAE,bias,n,notes
LONG_OPEN_LOOP_STRESS_TEST,fractional,1117.96,953.23,-851.15,24,"single origin (2020-12), open-loop through 2022-12; preserved from the base-model stage, not recomputed or mixed with rolling-origin."
LONG_OPEN_LOOP_STRESS_TEST,integer,1759.538,1588.649,-1588.649,24,"single origin (2020-12), open-loop through 2022-12; preserved from the base-model stage, not recomputed or mixed with rolling-origin."
ROLLING_ORIGIN_FORECASTING,fractional,1165.54493020662,1031.2504523378389,-987.4588572703651,156,SECONDARY AGGREGATE ONLY: pooled across all 13 origins x h=1..12 for cross-protocol comparison. Primary rolling-origin evidence is horizon-wise in metrics_by_horizon.csv -- never use this row as the primary forecasting result.
ROLLING_ORIGIN_FORECASTING,integer,1780.2698031470115,1666.9256044067786,-1666.9256044067786,156,SECONDARY AGGREGATE ONLY: pooled across all 13 origins x h=1..12 for cross-protocol comparison. Primary rolling-origin evidence is horizon-wise in metrics_by_horizon.csv -- never use this row as the primary forecasting result.
ROLLING_ORIGIN_FORECASTING,persistence,924.4224080265138,744.6602564102565,-655.8525641025641,156,SECONDARY AGGREGATE ONLY: pooled across all 13 origins x h=1..12 for cross-protocol comparison. Primary rolling-origin evidence is horizon-wise in metrics_by_horizon.csv -- never use this row as the primary forecasting result.
ROLLING_ORIGIN_FORECASTING,seasonal_naive_12,1189.0867132124813,1102.8525641025642,-1005.9294871794872,156,SECONDARY AGGREGATE ONLY: pooled across all 13 origins x h=1..12 for cross-protocol comparison. Primary rolling-origin evidence is horizon-wise in metrics_by_horizon.csv -- never use this row as the primary forecasting result.
ROLLING_ORIGIN_FORECASTING,SARIMA,1028.3674158307047,888.4998648165003,-860.7343392239873,156,SECONDARY AGGREGATE ONLY: pooled across all 13 origins x h=1..12 for cross-protocol comparison. Primary rolling-origin evidence is horizon-wise in metrics_by_horizon.csv -- never use this row as the primary forecasting result.
