protocol,model,evaluation_period,RMSE,MAE,bias,interpretation
LONG_OPEN_LOOP_STRESS_TEST,fractional,"2021-01 to 2022-12 (single origin: calibration through 2020-12, continuous open-loop)",1117.9600278444248,953.2300090877204,-851.1498884013175,Fractional formulation performed better than the independently refitted integer-order formulation under this single-origin stress test. Does NOT establish operational forecasting skill -- see 05_rolling_origin/ for that.
LONG_OPEN_LOOP_STRESS_TEST,integer,"2021-01 to 2022-12 (single origin: calibration through 2020-12, continuous open-loop)",1759.538400545304,1588.6486144823818,-1588.6486144823818,Independently refitted integer-order (alpha=1) comparator; higher error than the fractional formulation under this single-origin stress test.
