quantity,mean,std,min,max,cv,n_seeds
beta,0.24760506852061917,0.14360004835730697,0.07616353626040417,0.41304698994650035,0.5799560130787418,5
sigma,0.010092608791756514,5.283112125917601e-05,0.010022023505992378,0.01015105922683146,0.005234634805455617,5
gamma,0.17028781114164623,0.10191756379326472,0.05413928339718814,0.2847809004948621,0.5985018135472373,5
d,0.01895125188501614,0.015581309039292852,0.0003095189898615,0.038580142569509604,0.8221783517959707,5
alpha,0.9628254431172734,0.0008018588571720791,0.9619756595044474,0.9640110362133341,0.0008328185164861827,5
objective,608.2307775288898,2.149786303121425,605.048881003205,610.3881736239362,nan,5
