set,n,n_stable,n_unstable,n_ambiguous,min_angular_margin_rad,max_angular_margin_rad
NEAR_EQUIVALENT_ADMISSIBLE_SET,25,0,25,0,-1.519918127885772,-1.5092531213709348
FULL_PROFILE_DIAGNOSTIC_POOL (PROFILE_DIAGNOSTIC_ONLY -- not the primary conclusion),33,2,31,0,-1.548183793946397,1.5709968760633737
