set,n,R0_min,R0_max,R0_median,R0_iqr_q1,R0_iqr_q3,n_R0_below_1,n_R0_above_1
FULL_PROFILE_DIAGNOSTIC_POOL,33,0.639310940867302,1.6148758715364961,1.1735237577017688,1.1662298343725797,1.181569573378996,2,31
NEAR_EQUIVALENT_ADMISSIBLE_SET,25,1.154172396476935,1.1892187917630623,1.1735237577017688,1.1682299916907075,1.177004927313992,0,25
