seed,beta,sigma,gamma,d,alpha,calibration_rmse,R0_diagnostic,validation_rmse,validation_mae,validation_bias
20260815,0.07616353626040417,0.010022023505992378,0.05680581295281048,0.0003095189898615,0.9640110362133341,605.048881003205,1.1756214159263434,1117.9600278444248,953.2300090877203,-851.1498884013175
20260816,0.41304698994650035,0.010115752361823799,0.28184876256236635,0.03652093781853852,0.9635474177364491,610.3881736239362,1.1633049457742273,1167.558051812099,996.6299619549924,-912.1730744413217
20260817,0.08518692384928822,0.01015105922683146,0.05413928339718814,0.00935164956675464,0.9619756595044474,606.2725348462528,1.1866875631775995,1065.3202427848657,906.1607378029827,-782.2131929956473
20260818,0.2780565412531828,0.010136907444797727,0.17386429630100408,0.038580142569509604,0.9622398765493891,609.570508572539,1.1717685090526178,1130.2283382049745,964.2057331801528,-865.4125200169219
20260819,0.3855713512937202,0.010037301419337202,0.2847809004948621,0.009994010480416442,0.9623532255827466,609.873789598516,1.1715954552950407,1123.256549582381,958.1315155850122,-856.214496160188
